chain,video_id,title,channel,comment,likes
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Your chicken and broccoli looked so good!,2
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I have the same thing with the zipper for my bag. I have had many insulated bags over the years though and those ones from Trader Joe&#39;s somehow keep everything colder for longer than other bags I&#39;ve used so I just deal with the zipper because it&#39;s the best bag besides the zipper problem.,0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Thanks Gina!❤❤❤,3
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Thanks for showing those cookies, I was curious about them. 👍🏼",2
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I have been to Temecula trader Joe once years ago. I was amazed by their wine selection from local winery. My store doesn’t have that many I can even memorize what they have 😆 and I have a thought about that corn rib. I think they raised price. It was $3 something I thought that was expensive for what you are getting and past couple of times there were black corn in the bag. Not a good quality but then I’m so hooked on it I kept buying lol,0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I always make avocado toast as a light dinner. I’m going to try that cheese 👍,0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,🌼🌼🌿🌼🌼hi Gina!!,2
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,❤❤❤❤,2
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,❤,2
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Your videos help me a lot Gina, than you!",2
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,A simple str-fry always hits the spot.  Those cookies looked great I might have to pick that up for trying. Thanks for another great video.,1
